
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 49.044 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.957	5.024	
Aelurodon_asthenostylus	16.478	14.55	
Aelurodon_ferox	20.114	7.495	
Aelurodon_mcgrewi	21.703	13.61	
Aelurodon_montanensis	13.876	13.876	
Aelurodon_stirtoni	16.962	12.235	
Aelurodon_taxoides	22.684	5.731	
Aelurodon_wheelerianus	19.495	19.495	
Alopex	2.484	2.484	
Alopex_lagopus	1.602	0.007	
Archaeocyon_falkenbachi	24.454	24.454	
Archaeocyon_leptodus	31.928	21.532	
Archaeocyon_pavidus	32.878	29.403	
Borophaginae	22.779	5.349	
Borophagus	16.594	2.1	
Borophagus_diversidens	4.896	1.954	
Borophagus_dudleyi	5.082	5.082	
Borophagus_hilli	19.938	2.364	
Borophagus_littoralis	20.832	10.346	
Borophagus_orc	8.707	5.303	
Borophagus_parvus	8.543	5.136	
Borophagus_pugnator	19.756	5.941	
Borophagus_secundus	20.426	5.702	
Caedocyon_tedfordi	28.902	28.902	
Canidae	37.175	0.015	
Caninae	25.551	0.026	
Canini	8.658	2.059	
Canis	22.678	0.001	
Canis_(Pseudalopex)	0.973	0.027	
Canis_adustus	2.733	0.003	extant
Canis_anthus	1.411	0.699	extant
Canis_apolloniensis	1.797	1.797	
Canis_armbrusteri	2.848	0.085	
Canis_aureus	2.918	0.005	extant
Canis_cedazoensis	0.999	0.999	
Canis_dirus	2.005	0.013	
Canis_edwardii	17.462	0.397	
Canis_familiaris	0.325	0.001	extant
Canis_ferox	9.934	1.82	
Canis_latrans	4.506	0.001	extant
Canis_lepophagus	4.984	0.042	
Canis_lupus	3.066	0.002	extant
Canis_mesomelas	4.81	0.003	extant
Canis_proplatensis	1.67	1.67	
Canis_rufus	4.019	0.017	extant
Canis_thooides	4.464	4.464	
Carpocyon	15.144	7.31	
Carpocyon_compressus	20.868	10.418	
Carpocyon_limosus	6.821	6.118	
Carpocyon_robustus	15.042	10.71	
Carpocyon_webbi	15.238	7.018	
Cerdocyon_avius	3.466	2.861	
Cerdocyon_texanus	5.961	2.966	
Cerdocyon_thous	0.101	0.011	
Chailicyon_crassidens	42.085	42.085	
Chrysocyon	1.946	1.946	
Chrysocyon_brachyurus	1.84	0.782	
Chrysocyon_nearcticus	4.051	1.953	
Cormocyon	26.707	26.707	
Cormocyon_copei	28.206	11.525	
Cormocyon_haydeni	30.535	21.388	
Cubacyon_transversidens	1.638	1.638	
Cuon	0.586	0.012	
Cuon_alpinus	0.773	0.014	
Cynarctoides_acridens	26.893	14.261	
Cynarctoides_emryi	18.683	17.722	
Cynarctoides_gawnae	18.458	17.5	
Cynarctoides_harlowi	23.163	23.163	
Cynarctoides_lemur	30.422	22.95	
Cynarctoides_luskensis	25.111	21.778	
Cynarctoides_roii	30.719	26.901	
Cynarctoides_whistleri	18.195	16.124	
Cynarctus	15.271	11.552	
Cynarctus_crucidens	13.481	7.629	
Cynarctus_galushai	15.095	14.123	
Cynarctus_marylandica	17.651	14.711	
Cynarctus_saxatilis	15.9	13.907	
